"sy","sys_id_ga","sch_id_ga","level","sys_nm","sch_nm","enr_k12"
2024,638,103,"ES","Coweta County","Willis Road Elementary",679
2024,639,192,"ES","Crawford County","Crawford County Elementary",327
2024,639,203,"ES","Crawford County","Crawford County Primary School",286
2024,640,2052,"ES","Crisp County","Crisp County Elementary School",451
2024,640,115,"ES","Crisp County","Crisp County Primary School",968
2024,641,101,"ES","Dade County","Dade Elementary School",682
2024,772,105,"ES","Dalton Public Schools","Blue Ridge Elementary School",573
2024,772,1050,"ES","Dalton Public Schools","Brookwood Elementary School",643
2024,772,301,"ES","Dalton Public Schools","City Park Elementary School",627
2024,772,101,"ES","Dalton Public Schools","Park Creek Elementary School",527
2024,772,1052,"ES","Dalton Public Schools","Roan Elementary School",408
2024,772,173,"ES","Dalton Public Schools","Westwood Elementary School",531
2024,642,199,"ES","Dawson County","Black's Mill Elementary School",485
2024,642,103,"ES","Dawson County","Kilough Elementary School",412
2024,642,111,"ES","Dawson County","Riverview Elementary School",415
2024,642,189,"ES","Dawson County","Robinson Elementary School",607
2024,644,2050,"ES","DeKalb County","Allgood Elementary School",542
2024,644,3050,"ES","DeKalb County","Ashford Park Elementary School",703
2024,644,175,"ES","DeKalb County","Austin Elementary School",699
2024,644,5050,"ES","DeKalb County","Avondale Elementary School",423
2024,644,1103,"ES","DeKalb County","Barack H. Obama Elementary Magnet School of Technology",846
2024,644,475,"ES","DeKalb County","Bob Mathis Elementary School",325
2024,644,4051,"ES","DeKalb County","Briar Vista Elementary School",422
2024,644,3051,"ES","DeKalb County","Briarlake Elementary School",353
2024,644,1052,"ES","DeKalb County","Brockett Elementary School",379
2024,644,191,"ES","DeKalb County","Browns Mill Elementary School",387
2024,644,3052,"ES","DeKalb County","Canby Lane Elementary School",399
2024,644,275,"ES","DeKalb County","Cedar Grove Elementary School",497
2024,644,1053,"ES","DeKalb County","Chapel Hill Elementary School",497
2024,644,3053,"ES","DeKalb County","Chesnut Elementary School",490
2024,644,1054,"ES","DeKalb County","Columbia Elementary School",352
2024,644,5016,"ES","DeKalb County","Coralwood Education Center",64
2024,644,1105,"ES","DeKalb County","Doraville United Elementary School",858
2024,644,1055,"ES","DeKalb County","Dresden Elementary School",518
2024,644,3055,"ES","DeKalb County","Dunaire Elementary School",401
2024,644,214,"ES","DeKalb County","Dunwoody Elementary School",738
2024,644,297,"ES","DeKalb County","Edward L. Bouie, Sr. Elementary School",534
2024,644,181,"ES","DeKalb County","Eldridge L. Miller Elementary School",410
2024,644,1056,"ES","DeKalb County","Evansdale Elementary School",500
2024,644,375,"ES","DeKalb County","Fairington Elementary School",460
2024,644,2056,"ES","DeKalb County","Fernbank Elementary School",702
2024,644,107,"ES","DeKalb County","Flat Rock Elementary School",921
2024,644,3056,"ES","DeKalb County","Flat Shoals Elementary School",439
2024,644,3057,"ES","DeKalb County","Hambrick Elementary School",489
2024,644,5057,"ES","DeKalb County","Hawthorne Elementary School",324
2024,644,2058,"ES","DeKalb County","Henderson Mill Elementary School",497
2024,644,4058,"ES","DeKalb County","Hightower Elementary School",597
2024,644,5058,"ES","DeKalb County","Huntley Hills Elementary School",412
2024,644,1059,"ES","DeKalb County","Idlewood Elementary School",851
2024,644,2059,"ES","DeKalb County","Indian Creek Elementary School",826
2024,644,1104,"ES","DeKalb County","John Robert Lewis Elementary School",815
2024,644,3059,"ES","DeKalb County","Jolly Elementary School",752
2024,644,5059,"ES","DeKalb County","Kingsley Elementary School",334
2024,644,4060,"ES","DeKalb County","Laurel Ridge Elementary School",395
2024,644,1061,"ES","DeKalb County","Livsey Elementary School",349
2024,644,197,"ES","DeKalb County","Marbut Elementary School",383
2024,644,2062,"ES","DeKalb County","Midvale Elementary School",384
2024,644,4062,"ES","DeKalb County","Montclair Elementary School",590
2024,644,5062,"ES","DeKalb County","Montgomery Elementary School",654
2024,644,4052,"ES","DeKalb County","Murphey Candler Elementary School",462
2024,644,3063,"ES","DeKalb County","Oak Grove Elementary School",343
2024,644,305,"ES","DeKalb County","Oak View Elementary",648
2024,644,188,"ES","DeKalb County","Panola Way Elementary School",592
2024,644,1101,"ES","DeKalb County","Peachcrest Elementary School",589
2024,644,190,"ES","DeKalb County","Pine Ridge Elementary School",533
2024,644,3064,"ES","DeKalb County","Pleasantdale Elementary School",639
2024,644,108,"ES","DeKalb County","Princeton Elementary School",744
2024,644,5064,"ES","DeKalb County","Redan Elementary School",518
2024,644,3065,"ES","DeKalb County","Rock Chapel Elementary School",505
2024,644,272,"ES","DeKalb County","Rockbridge Elementary School",901
2024,644,409,"ES","DeKalb County","Ronald E McNair Discover Learning Academy Elementary School",469
2024,644,4065,"ES","DeKalb County","Rowland Elementary School",366
2024,644,5065,"ES","DeKalb County","Sagamore Hills Elementary School",394
2024,644,293,"ES","DeKalb County","Shadow Rock Elementary School",474
2024,644,3067,"ES","DeKalb County","Smoke Rise Elementary School",494
2024,644,4067,"ES","DeKalb County","Snapfinger Elementary School",390
2024,644,575,"ES","DeKalb County","Stone Mill Elementary School",520
2024,644,2068,"ES","DeKalb County","Stone Mountain Elementary School",421
2024,644,4068,"ES","DeKalb County","Stoneview Elementary School",736
2024,644,173,"ES","DeKalb County","Vanderlyn Elementary School",422
2024,644,675,"ES","DeKalb County","Woodridge Elementary School",381
2024,644,1071,"ES","DeKalb County","Woodward Elementary School",504
2024,643,2052,"ES","Decatur County","Hutto Elementary School",781
2024,643,4052,"ES","Decatur County","Jones-Wheat Primary School",553
2024,643,105,"ES","Decatur County","West Bainbridge Primary School",418
2024,645,293,"ES","Dodge County","Dodge County Elementary School",549
2024,645,294,"ES","Dodge County","Dodge County Primary School",588
2024,646,104,"ES","Dooly County","Dooly County Elementary School",445
2024,647,299,"ES","Dougherty County","Alice Coachman Elementary School",409
2024,647,5056,"ES","Dougherty County","International Studies Elementary Charter School",437
